collateral_id,loan_id,collateral_type,collateral_value,valuation_date
7000001,502632,Vehicle,10700.53,2026-07-25
7000002,504771,Vehicle,78246.12,2026-04-30
7000003,500008,Real Estate,420129.86,2024-10-09
7000004,503357,Vehicle,117526.99,2026-03-19
7000005,501604,Commercial Property,359066.65,2024-05-31
7000006,503229,Real Estate,53458.16,2024-04-10
7000007,501220,Vehicle,43794.19,2023-08-01
7000008,503746,Vehicle,7863.77,2023-06-08
7000009,502581,Other,36641.21,2024-09-07
7000010,501504,Real Estate,60325.96,2024-02-06
7000011,504944,Commercial Property,214521.87,2024-06-13
7000012,503799,Equipment,319379.9,2025-02-20
7000013,501102,Other,17508.27,2025-12-09
7000014,500930,Equipment,33719.97,2024-12-31
7000015,500207,Vehicle,13830.75,2025-10-19
7000016,504307,Other,34623.94,2023-02-22
7000017,502590,Real Estate,470010.31,2025-12-16
7000018,502631,Real Estate,32394.78,2025-02-18
7000019,502333,Vehicle,6086.32,2023-05-07
7000020,502261,Real Estate,54957.44,2026-04-04
7000021,501113,Real Estate,405040.81,2023-03-21
7000022,504336,Real Estate,41534.51,2024-10-24
7000023,500230,Real Estate,719874.5,2024-12-27
7000024,502341,Vehicle,549856.2,2023-04-10
7000025,500322,Real Estate,313702.71,2023-03-21
7000026,500206,Real Estate,934800.56,2023-06-10
7000027,502298,Real Estate,556696.42,2024-01-02
7000028,502343,Real Estate,63261.43,2025-12-18
7000029,504475,Commercial Property,259523.05,2026-01-30
7000030,503538,Equipment,246719.36,2025-09-18
7000031,502234,Real Estate,17082.21,2023-11-02
7000032,504290,Other,157487.2,2023-01-18
7000033,503793,Commercial Property,196957.68,2023-12-12
7000034,502841,Vehicle,24176.13,2026-01-28
7000035,500103,Vehicle,10294.62,2023-03-13
7000036,500759,Vehicle,12320.34,2023-01-28
7000037,502854,Real Estate,5023.75,2023-07-16
7000038,503768,Vehicle,92103.33,2025-10-07
7000039,501109,Equipment,11094.04,2026-06-22
7000040,501872,Real Estate,189413.67,2023-06-11
7000041,500352,Commercial Property,415707.98,2025-06-05
7000042,504347,Real Estate,218070.32,2025-06-22
7000043,502901,Real Estate,103009.48,2024-06-14
7000044,502355,Real Estate,115350.3,2025-05-08
7000045,502527,Commercial Property,46799.36,2024-07-25
7000046,502668,Real Estate,380729.03,2023-06-06
7000047,501135,Real Estate,627620.49,2026-05-31
7000048,502396,Commercial Property,41470.13,2024-11-14
7000049,501458,Equipment,378392.53,2023-09-16
7000050,503552,Vehicle,24945.46,2023-11-02
7000051,503048,Vehicle,508171.2,2025-01-30
7000052,502400,Real Estate,196396.01,2026-07-07
7000053,501743,Real Estate,245300.05,2025-02-03
7000054,503609,Vehicle,126504.45,2024-01-10
7000055,503325,Equipment,38333.33,2024-09-02
7000056,500920,Vehicle,31415.89,2025-05-24
7000057,502759,Real Estate,44886.23,2025-12-25
7000058,500366,Real Estate,397372.59,2024-12-14
7000059,502156,Commercial Property,10767.59,2023-06-25
7000060,502835,Vehicle,210981.16,2025-02-25
7000061,500435,Real Estate,36085.2,2026-07-19
7000062,500303,Real Estate,22966.36,2024-05-21
7000063,504737,Vehicle,56823.92,2024-12-18
7000064,501723,Other,33374.23,2024-03-15
7000065,504116,Equipment,229842.91,2023-12-05
7000066,504310,Vehicle,12768.07,2025-12-12
7000067,504113,Real Estate,23174.33,2023-09-14
7000068,504150,Real Estate,30176.45,2023-07-03
7000069,502356,Commercial Property,9335.32,2025-06-30
7000070,500588,Vehicle,327756.27,2023-04-15
7000071,503055,Real Estate,47119.67,2023-06-16
7000072,504023,Real Estate,537090.73,2026-01-29
7000073,500796,Commercial Property,26952.0,2023-11-09
7000074,504244,Vehicle,41854.71,2025-10-05
7000075,501548,Equipment,310186.59,2026-02-23
7000076,504972,Real Estate,65780.98,2023-10-19
7000077,503646,Vehicle,48956.43,2023-05-16
7000078,503705,Commercial Property,71884.71,2023-06-10
7000079,504663,Real Estate,5597.56,2024-02-24
7000080,502852,Vehicle,19571.12,2023-11-28
7000081,501043,Real Estate,467155.32,2026-03-04
7000082,504110,Vehicle,36683.68,2025-12-17
7000083,503399,Commercial Property,53503.21,2026-08-10
7000084,502573,Vehicle,6333.84,2026-06-18
7000085,504312,Equipment,14587.1,2026-01-10
7000086,504031,Real Estate,249271.62,2023-06-18
7000087,502381,Real Estate,322888.92,2024-05-03
7000088,501183,Real Estate,40043.76,2024-06-11
7000089,502542,Other,34002.71,2023-11-22
7000090,501816,Other,65692.54,2026-04-24
7000091,500092,Equipment,10173.0,2024-06-07
7000092,501785,Real Estate,47629.41,2023-04-14
7000093,504313,Equipment,128514.57,2026-01-04
7000094,501333,Vehicle,1121.14,2024-07-22
7000095,502712,Vehicle,169343.44,2026-03-28
7000096,501076,Commercial Property,38901.27,2024-01-20
7000097,502260,Vehicle,48099.55,2023-12-29
7000098,503560,Commercial Property,175568.33,2025-11-05
7000099,504779,Real Estate,15276.59,2024-03-09
7000100,500339,Vehicle,362893.15,2024-09-17
7000101,502091,Real Estate,10145.73,2024-12-19
7000102,503582,Vehicle,24260.94,2024-04-10
7000103,503175,Vehicle,23242.42,2023-12-01
7000104,501314,Real Estate,85371.52,2023-10-30
7000105,501192,Equipment,118609.18,2025-06-18
7000106,500704,Other,10522.88,2023-09-16
7000107,500131,Real Estate,11890.76,2024-05-05
7000108,502407,Vehicle,97308.48,2025-12-25
7000109,501789,Real Estate,659375.88,2025-04-07
7000110,504974,Real Estate,394882.91,2026-02-09
7000111,500912,Vehicle,12988.89,2023-02-21
7000112,501303,Vehicle,63144.38,2023-06-22
7000113,500836,Real Estate,9890.25,2025-02-21
7000114,502489,Equipment,97163.25,2025-01-13
7000115,501433,Real Estate,46800.42,2023-09-21
7000116,504213,Vehicle,47596.53,2024-11-11
7000117,503059,Real Estate,13140.89,2026-04-14
7000118,500947,Commercial Property,27736.55,2026-06-01
7000119,502799,Commercial Property,70273.85,2024-11-11
7000120,501306,Vehicle,5112.01,2024-05-21
7000121,503555,Vehicle,16311.02,2024-05-27
7000122,504057,Vehicle,29414.22,2026-05-19
7000123,501488,Vehicle,64812.07,2023-10-07
7000124,500845,Real Estate,36423.68,2023-04-24
7000125,501393,Real Estate,680651.16,2026-07-25
7000126,504372,Vehicle,142188.43,2023-06-13
7000127,501570,Real Estate,51730.16,2023-07-26
7000128,504905,Real Estate,21110.19,2024-03-19
7000129,500393,Real Estate,32487.58,2026-07-23
7000130,501415,Commercial Property,250120.33,2023-03-06
7000131,500098,Vehicle,36406.97,2026-06-14
7000132,504287,Real Estate,23825.69,2024-08-20
7000133,503294,Vehicle,190254.65,2025-05-06
7000134,501325,Real Estate,175684.25,2023-04-11
7000135,501867,Real Estate,202617.28,2026-01-30
7000136,500069,Equipment,485382.71,2024-06-08
7000137,504692,Real Estate,11588.62,2025-11-05
7000138,501413,Vehicle,21108.13,2025-06-15
7000139,500280,Other,294211.66,2023-12-12
7000140,501138,Real Estate,105736.77,2024-11-21
7000141,500746,Commercial Property,59568.6,2024-03-01
7000142,502271,Equipment,68993.98,2026-04-20
7000143,504914,Commercial Property,191518.87,2026-08-13
7000144,502917,Real Estate,177054.35,2025-02-19
7000145,501238,Other,89038.23,2026-08-19
7000146,502000,Vehicle,208398.64,2026-07-24
7000147,501730,Real Estate,16260.04,2024-01-27
7000148,504084,Vehicle,70132.53,2025-07-18
7000149,504457,Vehicle,13544.06,2024-09-03
7000150,504831,Vehicle,91985.28,2023-07-24
7000151,504704,Real Estate,6269.03,2024-08-13
7000152,503527,Vehicle,212266.91,2026-07-12
7000153,500942,Vehicle,227171.36,2023-09-25
7000154,502294,Equipment,27260.06,2024-04-05
7000155,501411,Vehicle,59771.42,2025-05-07
7000156,500837,Vehicle,53831.36,2025-05-09
7000157,501982,Real Estate,188987.69,2025-05-02
7000158,500105,Equipment,46879.28,2026-05-09
7000159,503161,Commercial Property,318196.24,2023-01-06
7000160,500901,Vehicle,190214.72,2025-12-15
7000161,502710,Vehicle,104535.52,2025-11-28
7000162,501746,Equipment,321442.66,2026-06-12
7000163,503902,Vehicle,557601.18,2023-12-09
7000164,501031,Real Estate,36358.2,2024-04-26
7000165,502291,Equipment,51761.31,2024-01-04
7000166,502105,Vehicle,127154.52,2023-01-31
7000167,502223,Real Estate,113650.83,2025-02-06
7000168,502790,Other,222623.7,2023-09-08
7000169,500385,Commercial Property,352262.69,2023-04-25
7000170,500350,Vehicle,66102.47,2025-10-13
7000171,503200,Commercial Property,520788.84,2025-03-31
7000172,500970,Real Estate,186732.73,2023-08-09
7000173,503858,Commercial Property,8822.19,2025-12-27
7000174,500227,Vehicle,452233.47,2024-08-12
7000175,501815,Equipment,150009.6,2026-04-08
7000176,500670,Vehicle,5621.48,2023-02-09
7000177,504728,Real Estate,243209.8,2024-11-28
7000178,504025,Real Estate,129476.63,2025-10-30
7000179,500685,Vehicle,81269.15,2025-03-16
7000180,501800,Vehicle,32205.02,2024-08-31
7000181,501559,Other,130509.08,2025-06-08
7000182,502299,Real Estate,6109.46,2026-06-11
7000183,502287,Equipment,31616.96,2026-03-18
7000184,504490,Equipment,167284.29,2024-04-16
7000185,500679,Vehicle,453953.84,2024-05-11
7000186,501426,Equipment,359472.53,2026-06-26
7000187,500009,Real Estate,45021.07,2025-06-11
7000188,502985,Real Estate,31675.9,2023-09-13
7000189,500439,Real Estate,23857.47,2023-06-20
7000190,504903,Equipment,7857.17,2024-05-23
7000191,500085,Real Estate,32920.5,2026-06-20
7000192,501813,Real Estate,279328.06,2025-01-01
7000193,502690,Real Estate,3937.77,2026-08-05
7000194,502128,Real Estate,40727.6,2024-09-16
7000195,502851,Equipment,100910.59,2023-03-26
7000196,500778,Equipment,15926.36,2025-06-08
7000197,500264,Vehicle,112642.84,2023-04-01
7000198,501024,Real Estate,5546.26,2026-08-14
7000199,503525,Vehicle,14300.69,2023-03-31
7000200,504571,Real Estate,63021.67,2024-01-31
7000201,502822,Real Estate,235660.0,2023-11-24
7000202,500616,Real Estate,67609.69,2026-07-22
7000203,501590,Equipment,14242.34,2023-07-17
7000204,504642,Equipment,287680.87,2024-02-01
