loan_id,customer_id,loan_type,loan_amount,outstanding_balance,interest_rate,loan_status,state,origination_date,maturity_date
500001,10406,Mortgage,381247.1,209500.2,8.48,Closed,Arizona,17-07-2025,01-07-2028
500002,10444,Auto Loan,57729.89,37393.59,3.81,Fully Paid,Illinois,26-06-2021,31-05-2026
500003,10082,Mortgage,548914.33,228453.26,9.46,Delinquent,Florida,14-06-2019,18-05-2024
500004,10069,Mortgage,819274.53,458976.03,12.52,Closed,Michigan,12-09-2025,06-08-2032
500005,11884,Mortgage,153548.23,87699.41,14.45,Fully Paid,Virginia,17-01-2022,30-10-2036
500006,11542,Mortgage,192345.64,81353.45,4.66,Active,Washington,22-10-2023,04-08-2038
500007,12524,Equipment Loan,177477.58,51443.75,11.5,Active,Texas,12-11-2020,28-10-2023
500008,11479,Business Loan,453135.89,312330.82,12.72,Active,Pennsylvania,30-07-2024,04-07-2029
500009,12822,Personal Loan,67602.18,33359.39,11.41,Active,Arizona,21-09-2019,08-06-2039
500010,11858,Personal Loan,66534.79,22464.46,8.86,Fully Paid,Florida,09-03-2021,22-02-2024
500011,12034,Auto Loan,68715.25,22290.61,3.59,Delinquent,Texas,19-07-2020,02-05-2035
500012,10523,Business Loan,301999.79,134655.08,3.93,Delinquent,Georgia,16-03-2021,01-12-2040
500013,11955,Mortgage,369989.14,119512.24,10.66,Active,New Jersey,10-08-2023,27-04-2043
500014,10924,Auto Loan,41965.5,40405.77,12.42,Active,Arizona,08-05-2025,17-03-2035
500015,11286,Auto Loan,41783.91,24855.1,5.7,Delinquent,Florida,19-04-2024,19-03-2030
500016,11849,Business Loan,226631.89,69796.31,6.39,Fully Paid,Michigan,09-10-2022,23-09-2025
500017,10820,Auto Loan,23202.58,10229.8,10.28,Delinquent,Florida,05-05-2021,09-04-2026
500018,11886,Auto Loan,54317.97,46106.81,11.59,Active,New York,07-01-2022,12-12-2026
500019,11520,Mortgage,249668.14,160424.95,12.72,Active,Texas,16-09-2021,16-08-2027
500020,10987,Personal Loan,6827.79,2574.07,4.69,Fully Paid,Michigan,30-10-2025,26-05-2055
500021,12015,Auto Loan,20181.71,5555.08,5.89,Fully Paid,New Jersey,05-02-2023,31-08-2052
500022,10712,Auto Loan,84075.84,42170.31,7.92,Active,Virginia,20-08-2023,24-07-2028
500023,11178,Auto Loan,78651.22,65085.07,9.87,Fully Paid,Texas,17-08-2024,13-03-2054
500024,11448,Personal Loan,67314.03,61515.77,6.09,Closed,Illinois,28-07-2023,26-06-2029
500025,11914,Auto Loan,50706.64,10134.89,5.23,Delinquent,Texas,03-09-2023,16-06-2038
500026,12825,Auto Loan,16555.01,15899.72,7.09,Active,Florida,24-12-2023,03-12-2027
500027,11894,Auto Loan,30695.5,5688.69,12.29,Active,Massachusetts,09-01-2021,23-10-2035
500028,11951,Business Loan,379512.02,100352.79,5.67,Fully Paid,California,22-08-2019,26-07-2024
500029,12704,Mortgage,556653.58,485002.95,12.68,Active,Illinois,03-11-2025,30-05-2055
500030,12893,Business Loan,131019.15,104897.82,9.34,Active,New Jersey,04-01-2021,21-09-2040
500031,11411,Auto Loan,27966.39,24825.24,14.07,Closed,Texas,09-04-2021,21-01-2036
500032,10046,Auto Loan,27284.06,11741.06,8.01,Active,Michigan,05-08-2022,18-05-2037
500033,11053,Personal Loan,54596.74,47041.87,9.32,Active,Illinois,06-03-2019,29-09-2048
500034,10507,Equipment Loan,120503.77,52986.91,6.96,Fully Paid,California,24-10-2025,08-10-2028
500035,11384,Mortgage,247843.64,164774.12,3.96,Fully Paid,New Jersey,11-07-2024,20-05-2034
500036,12731,Equipment Loan,257618.49,38980.87,5.18,Fully Paid,Pennsylvania,02-08-2024,27-06-2031
500037,12609,Mortgage,470434.99,230542.9,8.01,Active,Michigan,11-07-2023,14-06-2028
500038,12637,Auto Loan,23688.84,5763.04,7.76,Active,Washington,29-04-2025,10-02-2040
500039,12802,Personal Loan,74939.93,18520.04,14.24,Active,Florida,22-07-2025,15-02-2055
500040,10064,Mortgage,760620.42,399934.67,4.18,Active,Michigan,26-07-2022,05-07-2026
500041,12613,Auto Loan,89927.75,29680.16,11.48,Active,Texas,06-10-2022,04-09-2028
500042,10371,Mortgage,296621.62,104126.82,10.37,Active,Pennsylvania,30-11-2025,24-10-2032
500043,11212,Auto Loan,70806.42,63455.9,10.47,Active,Illinois,23-01-2024,27-12-2028
500044,12199,Auto Loan,87117.34,56562.81,10.21,Delinquent,Massachusetts,12-02-2024,07-09-2053
500045,10026,Business Loan,418663.35,397011.8,3.53,Active,Texas,07-02-2019,25-10-2038
500046,11003,Personal Loan,5132.43,3042.92,3.68,Defaulted,Illinois,21-09-2019,08-06-2039
500047,10084,Mortgage,202526,192707.31,9.89,Active,Washington,25-04-2021,19-03-2028
500048,11073,Auto Loan,41723.79,18656.22,6.77,Closed,Texas,16-04-2025,10-03-2032
500049,10469,Business Loan,493935.15,276651,8.81,Closed,Ohio,07-03-2022,14-01-2032
500050,10679,Equipment Loan,81093.2,75450.9,9.11,Active,Arizona,18-03-2021,30-12-2035
500051,10128,Auto Loan,26702.76,17551.37,10.15,Fully Paid,Ohio,02-09-2022,11-07-2032
500052,12139,Equipment Loan,188578.82,108337.27,12.38,Active,Virginia,09-03-2022,16-01-2032
500053,12981,Auto Loan,75516.57,13822.9,7.08,Defaulted,Texas,05-03-2022,20-11-2041
500054,10384,Mortgage,731865.31,448814.35,7.71,Active,New York,25-03-2019,18-10-2048
500055,12334,Mortgage,825033.27,782344.74,5.74,Defaulted,Massachusetts,15-12-2024,24-10-2034
500056,10546,Mortgage,236704.35,100049.07,10.44,Active,Arizona,21-07-2020,20-06-2026
500057,10312,Business Loan,104500.78,70523.8,14.12,Active,Pennsylvania,02-09-2020,12-07-2030
500058,10881,Personal Loan,11051.11,6236,11.69,Defaulted,Massachusetts,11-06-2023,26-05-2026
500059,11856,Personal Loan,9087.94,5386.95,11.13,Defaulted,Virginia,18-10-2020,22-09-2025
500060,12173,Equipment Loan,288018.63,184286.81,13.38,Active,Illinois,15-10-2020,24-08-2030
500061,10593,Mortgage,320510.81,268053.25,4.3,Active,Georgia,02-10-2021,11-08-2031
500062,12732,Mortgage,526533.12,245208.66,9.82,Fully Paid,Texas,12-05-2024,16-04-2029
500063,10950,Mortgage,594892.65,416796.28,9.21,Defaulted,Washington,18-09-2025,14-04-2055
500064,11136,Mortgage,778521.7,208777.43,9.37,Active,Georgia,06-09-2022,11-08-2027
500065,10276,Mortgage,202384.61,44274.69,13.97,Active,Arizona,11-02-2025,21-12-2034
500066,11081,Personal Loan,61769.08,13765.96,6.33,Active,Michigan,12-07-2024,25-04-2039
500067,11732,Auto Loan,31724.86,17864.47,10.66,Fully Paid,Pennsylvania,21-07-2024,30-05-2034
500068,10801,Auto Loan,66640.92,56815.74,3.99,Fully Paid,New York,14-02-2024,23-12-2033
500069,10801,Business Loan,500543.19,428439.06,4.77,Active,New York,14-09-2024,24-08-2028
500070,10827,Personal Loan,47198.1,13011.35,4.01,Active,California,29-09-2019,16-06-2039
500071,10154,Personal Loan,59917.97,26820.09,10.73,Active,New Jersey,28-03-2022,04-02-2032
500072,12156,Auto Loan,35946.62,14407.53,10.56,Active,California,31-07-2025,15-07-2028
500073,10981,Equipment Loan,217152.3,83391.91,9.63,Active,North Carolina,12-08-2024,08-03-2054
500074,10105,Business Loan,485577.68,352860.07,13.33,Active,California,14-04-2020,21-02-2030
500075,10711,Auto Loan,63762.57,40115.76,5.52,Active,Michigan,14-09-2023,18-08-2028
500076,10517,Business Loan,71603.85,22911.74,7.46,Active,North Carolina,04-07-2020,17-04-2035
500077,10035,Auto Loan,36050.23,31218.16,5.54,Defaulted,New Jersey,30-01-2021,09-12-2030
500078,10472,Auto Loan,60111.31,22846.72,8.81,Fully Paid,Ohio,08-10-2025,25-06-2045
500079,10101,Auto Loan,23204.56,10182.35,5.74,Active,Texas,16-06-2022,24-04-2032
500080,10860,Mortgage,516514.97,402193.28,6.57,Active,Massachusetts,09-09-2020,05-04-2050
500081,12833,Mortgage,221727.85,108897.1,14.23,Active,California,17-11-2024,17-10-2030
500082,12808,Personal Loan,11281.34,8815.42,6.91,Active,Massachusetts,25-09-2022,20-04-2052
500083,12137,Personal Loan,44840.48,36260.67,9.31,Defaulted,North Carolina,15-10-2019,23-08-2029
500084,10762,Auto Loan,57892.66,12102.07,6.01,Fully Paid,Massachusetts,22-05-2021,26-04-2026
500085,12134,Auto Loan,64975.03,36912.1,12.28,Active,North Carolina,31-12-2022,24-11-2029
