payment_id,loan_id,payment_date,scheduled_amount,actual_payment,principal_paid,interest_paid,days_past_due,payment_status
9000001,500001,2025-07-17,10779.66,11061.8,10985.62,76.18,0,Paid
9000002,500001,2025-10-15,11105.52,10786.8,10708.32,78.48,5,Late
9000003,500001,2026-01-13,11112.6,11034.83,10956.3,78.53,0,Paid
9000004,500002,2021-06-26,1679.07,1646.72,1641.39,5.33,0,Paid
9000005,500002,2021-09-24,1545.11,1519.95,1515.04,4.91,0,Paid
9000006,500002,2021-12-23,1575.88,1582.34,1577.34,5.0,0,Paid
9000007,500003,2019-06-14,15131.81,13484.85,13365.56,119.29,60,Late
9000008,500003,2019-09-12,15163.92,11476.8,11357.25,119.54,30,Late
9000009,500003,2019-12-11,14820.82,15040.06,14923.23,116.84,60,Late
9000010,500004,2025-09-12,14555.59,14893.99,14742.13,151.86,0,Paid
9000011,500004,2025-12-11,14860.83,13382.78,13227.73,155.05,5,Late
9000012,500004,2026-03-11,15276.07,14236.53,14077.15,159.38,90,Late
9000013,500005,2022-01-17,4326.62,4294.34,4242.24,52.1,0,Paid
9000014,500005,2022-04-17,4320.04,4275.33,4223.31,52.02,0,Paid
9000015,500005,2022-07-16,4413.93,3472.98,3419.82,53.15,10,Late
9000016,500006,2023-10-22,5439.34,5407.81,5386.68,21.12,0,Paid
9000017,500006,2024-01-20,5121.57,4399.77,4379.88,19.89,60,Late
9000018,500006,2024-04-19,5378.29,5494.46,5473.57,20.89,0,Paid
9000019,500007,2020-11-12,5000.0,5019.3,4971.38,47.92,0,Paid
9000020,500007,2021-02-10,5142.27,4132.8,4083.52,49.28,90,Late
9000021,500007,2021-05-11,5105.0,5069.62,5020.69,48.92,0,Paid
9000022,500008,2024-07-30,12855.46,13108.71,12972.44,136.27,0,Paid
9000023,500008,2024-10-28,12205.57,11848.73,11719.35,129.38,0,Paid
9000024,500008,2025-01-26,12047.18,11733.71,11606.01,127.7,0,Paid
9000025,500009,2019-09-21,1955.15,1540.93,1522.34,18.59,15,Late
9000026,500009,2019-12-20,1932.55,1900.33,1881.95,18.38,0,Paid
9000027,500009,2020-03-19,1917.24,1940.8,1922.57,18.23,0,Paid
9000028,500010,2021-03-09,1755.95,1460.31,1447.34,12.96,30,Late
9000029,500010,2021-06-07,1932.92,1945.8,1931.53,14.27,0,Paid
9000030,500010,2021-09-05,1809.1,1838.17,1824.81,13.36,0,Paid
9000031,500011,2020-07-19,1843.2,1605.91,1600.39,5.51,60,Late
9000032,500011,2020-10-17,1917.89,1872.91,1867.17,5.74,30,Late
